tau	chr	start	end	transcript_id	thymus	liver	colon	jejunum	skin	mammary	horn	duodenum	rumen	thyroid	uterus	heart	kidney	ileum	adipose	ovary	abomasum	omasum	intestine	esophagus	reticulum	muscle	Lung	spleen	brain
0.84234	18	31974636	31974859	MSTRG.16547.1	0.790976	3.80163	0.0	0.0	5.176689	1.364599	0.602228	0.524181	2.953588	4.247848	1.428574	0.0	0.0	1.041134	0.472901	1.202869	0.522749	0.0	0.0	1.325318	0.0	0.483253	0.0	1.095136	2.978744
0.83851	18	32099701	32099794	MSTRG.16552.2	0.623679	0.23233	0.0	3.567381	4.732448	5.137512	0.434862	0.0	7.189112	0.0	0.121566	2.604498	2.612282	1.083187	0.0	0.748682	0.184339	4.26684	0.422244	0.518327	0.288999	0.186529	1.051378	0.0	12.974986
0.80252	18	32115076	32115299	MSTRG.16553.1	4.153862	1.889647	0.0	0.0	0.963923	1.863608	1.19852	0.793613	6.748852	3.76188	1.180088	0.588074	2.353154	3.138707	0.94673	1.387799	0.586208	0.0	0.825953	1.949812	0.698266	0.0	0.412382	0.0	5.473771
1.00000	18	32115228	32115299	MSTRG.16553.2	0.200779	0.035934	0.0	0.0	0.865779	0.0	0.369287	0.500867	5.826475	0.0	0.003274	0.273858	0.0	0.169317	0.0	0.734805	0.167754	0.0	0.345441	0.181562	0.485401	0.0	0.0	0.0	0.0
0.90411	18	32437578	32439621	MSTRG.16561.1	0.289517	0.0	2.350845	0.770611	0.422879	1.739597	1.508309	1.195987	2.843718	0.961547	9.463326	0.336721	0.0	0.512352	5.144546	0.295635	0.080602	0.995918	0.475671	0.804123	1.633305	0.552118	0.412444	0.0	0.670711
0.86275	18	32880636	32881005	MSTRG.16579.1	0.554008	0.0	3.03899	8.484176	2.544087	0.0	0.0	13.272414	0.932577	0.0	0.0	0.0	0.0	13.567457	0.0	0.321398	1.348552	0.0	3.869546	0.0	0.0	0.0	1.183441	0.0	0.0
NA	18	33045936	33047942	MSTRG.16588.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.166084	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.97361	18	33292195	33293595	MSTRG.16589.1	0.0	0.0	0.0	0.0	0.0	0.0	0.137537	0.602874	1.605137	0.0	2.086308	0.419558	0.0	0.178388	0.141285	0.0	0.089955	0.0	0.121088	0.0	0.260243	1.118656	0.183894	0.0	8.045073
1.00000	18	33292195	33293595	MSTRG.16589.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.941278
1.00000	18	35439798	35439844	MSTRG.16595.1	0.019148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.165262	0.0	0.036933	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.53481
0.98380	18	35860444	35860903	MSTRG.16596.1	0.0	0.0	0.0	0.0	0.11651	0.0	0.0	0.0	1.338725	0.0	0.092192	0.0	0.0	0.0	1.453883	5.542979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1.00000	18	34937263	34938352	MSTRG.16604.1	0.0	0.0	0.0	0.0	0.39147	0.006639	0.197741	0.017432	0.897801	0.0	0.327301	0.031619	0.0	0.04749	1.346162	0.971022	0.062772	0.0	0.0116	0.024679	0.151075	0.011297	0.0	0.0	0.308642
0.96055	18	34936979	34937031	MSTRG.16604.2	0.0	0.005165	0.0	0.0	1.499883	0.0	0.042365	0.0	1.467834	0.0	0.022639	0.0	0.0	0.063677	0.0	0.0	0.007282	0.0	0.0	0.03594	0.0	0.0	0.0	0.0	0.134726
1.00000	18	34936979	34937262	MSTRG.16604.3	0.0	0.012439	0.0	0.0	0.069084	0.0	0.0	0.0	1.113153	0.0	0.001093	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.092187
NA	18	34938353	34948332	MSTRG.16604.5	0.0	0.016607	0.0	0.0	0.000195	0.0	0.028208	0.0	0.032846	0.0	0.185299	0.085268	0.0	0.029473	0.0	0.0	0.000891	0.0	0.0	0.0	0.0	0.0	0.007968	0.0	0.303706
0.98015	18	35173792	35173914	MSTRG.16606.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.653578	0.0	0.552419	0.0	0.0	0.0	1.730992	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.162838
0.96892	1	6566215	6566364	MSTRG.166.1	1.68683	0.0	0.0	0.0	1.042355	0.0	0.0	0.0	3.54415	0.0	0.744231	0.0	0.0	1.138572	0.0	0.0	0.179568	0.0	0.306861	0.0	0.0	0.0	0.24788	0.0	1.283799
0.99532	18	37476997	37477132	MSTRG.16616.1	0.143091	0.0	0.0	0.0	0.147591	0.0	0.0	0.0	1.423934	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.440867	0.0	23.334425
0.96866	18	37634685	37636005	MSTRG.16618.1	0.828112	0.0	0.0	0.0	2.769503	0.0	0.0	0.0	2.83748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.540081	0.0	0.0	0.319376	0.0	27.522861
0.99698	18	37650174	37654844	MSTRG.16620.1	1.257806	0.0	0.0	0.0	0.01665	0.0	0.0	0.0	0.292109	0.0	0.0	0.0	0.0	0.008262	0.0	0.0	0.0	0.0	0.0	0.031275	0.0	0.0	0.184117	0.0	23.792768
1.00000	18	37647062	37654844	MSTRG.16620.10	0.241208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.549541
1.00000	18	37660341	37664540	MSTRG.16620.11	0.056597	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.101901	0.0	0.0	0.0	0.0	3.350215
1.00000	18	37650174	37654844	MSTRG.16620.2	0.496081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.855607
1.00000	18	37647135	37654844	MSTRG.16620.3	0.753727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.073681	0.0	0.0	0.093461	0.0	4.675099
1.00000	18	37660341	37664540	MSTRG.16620.4	0.00913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.065749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.860687
1.00000	18	37650174	37654844	MSTRG.16620.5	0.357416	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.461554
1.00000	18	37660341	37664540	MSTRG.16620.6	0.054575	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17102	0.0	0.0	0.0	0.0	5.259344
0.99988	18	37650174	37654844	MSTRG.16620.7	1.010643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	42.727505
1.00000	18	37655507	37664540	MSTRG.16620.8	0.762316	0.0	0.0	0.0	0.007524	0.006191	0.0	0.009747	0.056778	0.161748	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.139066	0.0	0.0	0.130924	0.0	66.173546
1.00000	18	37660341	37664540	MSTRG.16620.9	0.110455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.393758
NA	1	105759950	105760051	MSTRG.1662.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.271226
NA	1	105759947	105760051	MSTRG.1662.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.468133
0.75403	1	105791032	105791432	MSTRG.1663.1	0.577782	0.391459	14.291148	6.93742	0.542247	0.685182	1.124427	6.158873	8.009854	1.412163	1.132644	1.028383	3.220065	13.234545	0.879938	0.849645	2.197101	1.789131	6.447245	1.643147	0.305498	1.104586	0.659875	0.267181	5.308098
0.91015	18	39252269	39254314	MSTRG.16638.1	0.035396	0.0	0.0	0.0	0.285816	0.068467	0.151287	0.0	5.533132	0.0	3.890586	0.506186	0.0	0.0	0.389368	0.0	0.066497	0.0	0.0	0.095862	0.198573	1.885245	0.311833	0.0	5.454597
0.91033	18	39269625	39270832	MSTRG.16639.1	0.0	0.0	0.0	0.0	0.116558	0.048858	0.112942	0.0	6.48323	0.0	6.685771	0.093906	0.0	0.033119	0.021223	0.0	0.033185	0.0	0.0	0.017776	0.030722	3.432047	0.83301	0.0	10.221386
NA	18	39268555	39269216	MSTRG.16639.2	0.0	0.0	0.0	0.0	0.0	0.033308	0.0	0.0	0.623875	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.91623	18	39303605	39304227	MSTRG.16640.1	0.055322	0.0	0.0	0.0	0.0	0.447523	0.0	0.0	6.255773	0.0	13.131171	0.597788	0.0	0.060648	0.0	0.0	0.0	0.0	0.0	0.063568	0.0	2.007071	1.250585	0.0	11.278676
NA	1	105797547	105797593	MSTRG.1664.1	0.0	1.9e-05	0.0	0.0	0.0	0.007536	0.0	0.0	0.123748	0.0	0.0	0.0	0.0	0.0	0.033883	0.0	0.0	0.0	0.0	0.0	0.0	1e-06	0.0	0.0	0.0
1.00000	18	41138788	41140232	MSTRG.16647.15	0.056154	0.0	0.0	0.0	0.0	0.0	0.007155	0.081981	1.963615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014682	0.005431	0.0	0.0	0.0	0.0	0.0
0.94649	18	41051912	41052670	MSTRG.16648.1	0.222671	0.0	0.0	0.0	0.149012	0.0	0.211335	0.0	3.442275	0.0	3.646769	0.0	0.0	0.411913	0.213255	0.488189	0.0	0.0	0.0	0.221755	0.0	1.24694	0.219406	0.0	8.51696
NA	18	41421023	41423532	MSTRG.16650.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.089642	0.0	0.0	0.0	0.0	0.0	0.028479	0.0	0.0	0.0	0.0	0.0	0.415549	0.0	0.0	0.0	0.13364
NA	1	105837546	105837562	MSTRG.1665.1	0.001217	0.0	0.0	0.0	0.050501	0.00906	0.0	0.0	0.264701	0.041642	0.013982	0.0	0.0	0.0	0.015042	0.002386	0.001715	0.0	0.0	0.0	0.0	0.027934	0.002743	0.0	0.027861
0.96966	18	41897822	41898088	MSTRG.16653.1	0.0	0.0	0.0	0.0	0.026305	0.0	0.0	0.0	3.115956	0.0	0.684218	0.0	0.017346	0.0	0.0	0.0	0.0	0.0	0.0	0.06551	0.0	1.826091	0.0	0.0	1.252726
NA	18	42056456	42057179	MSTRG.16654.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.090967	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.96580	18	42220638	42223958	MSTRG.16658.1	0.049292	0.0	0.0	0.0	0.154042	0.18014	0.238238	0.017909	1.941492	0.0	6.470086	0.229752	0.0	0.0	0.315453	0.0	0.033291	0.0	0.035006	0.04757	0.082366	1.108973	0.232729	0.037678	24.748331
0.95970	18	42272468	42277142	MSTRG.16659.1	0.10597	0.0	0.133953	0.0	0.071817	0.152629	0.068534	0.0	1.970402	0.149	8.209835	0.169206	0.0	0.040663	0.012299	0.020951	0.01072	0.0	0.0	0.006892	0.045951	1.481658	0.346288	0.0	26.69508
0.91385	18	43137970	43138168	MSTRG.16661.1	2.179659	0.0	0.0	0.0	1.547456	0.0	1.55283	0.716777	23.039747	0.0	0.655356	5.73651	0.0	1.89513	0.0	0.699114	0.561825	0.0	0.336986	0.204609	3.455505	3.335436	0.0	0.0	0.484813
0.91206	18	43208358	43208393	MSTRG.16662.1	0.0	0.0	0.0	0.0	0.276607	0.0	2.406554	0.392057	8.526694	0.0	0.508126	2.873382	0.0	1.079502	0.0	0.0	0.075844	0.0	0.222967	0.448514	1.465092	4.617383	0.0	0.0	1.824984
0.78167	18	43264516	43264656	MSTRG.16664.1	0.398757	0.0	6.205154	8.432953	0.0	0.0	0.433874	9.505305	1.437197	0.0	0.56281	0.0	0.0	4.068379	0.0	0.0	0.678258	0.0	9.102834	0.203255	0.356434	3.678274	1.326823	1.777893	5.511571
0.30158	18	43641600	43641735	MSTRG.16668.1	12.504714	10.844363	6.719798	13.84205	9.38799	8.15204	6.050405	22.650879	15.914893	10.621228	4.070472	10.153159	13.808158	8.783128	11.038861	12.941917	3.473424	14.035279	11.173705	8.014292	6.522328	8.210077	1.156132	13.466303	20.120173
0.97615	18	43705937	43706062	MSTRG.16669.3	0.124721	0.0	0.0	0.0	0.057364	0.0	0.0	0.118614	11.101525	0.0	0.404148	0.0	0.0	0.164155	0.25367	0.0	0.0	0.0	0.0	0.0	0.0	66.982689	0.240055	0.0	0.571775
0.98311	18	43705940	43706062	MSTRG.16669.5	0.404046	0.0	0.0	0.884275	0.085018	0.075625	0.0	0.0	1.500466	0.0	0.123642	0.0	0.0	0.114119	0.079469	0.148315	0.0	0.0	0.073763	0.39707	0.0	123.798195	1.117407	0.0	4.206391
0.92957	18	43734787	43734922	MSTRG.16669.6	0.72094	0.0	0.0	0.0	0.212755	4.082634	0.382022	0.0	266.141876	0.0	1.671537	0.0	0.0	0.0	0.0	0.117843	0.0	0.0	0.0	0.727959	0.239106	475.211609	5.475434	0.0	3.366154
NA	18	43684257	43684532	MSTRG.16670.1	0.0	0.0	0.0	0.0	0.007192	0.0	0.0	0.0	0.662358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023172	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.74770	18	43726965	43728369	MSTRG.16671.1	2.46237	0.024348	1.464451	0.848376	2.365567	1.556894	1.318952	0.771795	4.947947	3.06639	1.945939	2.04566	0.551681	2.044067	0.928428	0.358091	0.881861	2.45022	1.220719	2.013119	2.357851	1.234434	0.369044	1.000035	5.703703
0.85367	18	43734031	43734337	MSTRG.16672.1	0.350393	0.0	0.0	2.67946	5.19787	0.311884	2.040617	0.0	12.398552	3.612645	1.1331	0.0	0.0	1.437919	1.741855	0.0	0.476623	3.269856	1.189169	3.590152	0.984351	0.78993	0.0	0.0	1.700505
0.66469	18	43782446	43782744	MSTRG.16673.1	1.820862	1.761089	2.158079	4.075178	8.906894	6.455966	4.498915	0.706879	21.365211	12.33815	1.404096	7.917148	0.0	2.139658	3.422669	0.740446	0.91315	12.427555	0.438969	10.495763	1.374742	0.704436	2.011657	3.629091	5.234967
NA	18	44081896	44082156	MSTRG.16679.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003862	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
0.59009	1	105988711	105989995	MSTRG.1668.1	3.482138	0.0	5.189779	12.308619	2.193461	2.03881	1.127777	3.579684	33.979053	5.21904	15.371322	4.263759	1.218969	8.047656	2.628681	4.567812	1.967448	6.486977	5.43458	5.269283	19.945461	6.48849	3.610721	1.501388	27.921782
0.87687	18	44289279	44289428	MSTRG.16681.1	8.598895	0.0	0.933349	0.0	0.628145	0.351939	2.748034	0.555637	2.778518	2.31994	3.775288	0.557022	0.663988	1.126773	1.283146	1.194236	0.462618	1.049567	0.584044	0.618437	0.432517	0.43542	0.606298	0.0	4.763889
0.99083	18	44289279	44289428	MSTRG.16681.2	0.148455	0.025378	0.0	0.0	0.041452	0.08682	0.074664	0.042576	1.552823	0.0	0.064103	0.478124	0.45242	0.008026	0.0	0.0	0.012482	0.0	0.102154	0.080606	0.0	0.418392	0.122886	0.066031	1.101707
0.95269	18	44541864	44541986	MSTRG.16685.1	0.380938	0.0	0.0	0.0	0.121578	0.0	0.0	0.0	1750.960205	0.0	1.107286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	965.571472	3.589705	0.0	1.254294
0.90515	18	44570840	44570855	MSTRG.16685.2	0.0	0.0	0.0	0.0	0.24545	10.5342	0.0	0.0	2255.163086	0.0	0.0	0.0	0.0	0.0	0.0	1.415143	0.315199	0.0	0.0	0.0	0.0	1197.562378	3.605744	0.0	3848.869385
0.90322	18	44564693	44564824	MSTRG.16685.3	0.274826	0.0	0.0	0.0	1.16237	4.972335	0.080642	0.0	346.438751	0.0	0.686414	0.0	0.0	0.0	0.0	3.659445	0.0	0.0	0.0	0.830139	0.0	427.963531	1.211403	0.0	680.284424
0.93034	18	44597934	44598054	MSTRG.16687.1	0.0	0.0	0.0	0.0	5.024502	0.0	0.0	0.0	972.353394	0.0	12.826177	0.0	0.0	0.0	0.0	0.500259	0.0	0.0	0.0	0.0	0.0	723.373535	0.0	0.0	2.121833
0.99775	18	44592501	44592624	MSTRG.16687.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.463753	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.003284	0.0	0.0	1.110687
0.87410	18	44592770	44592862	MSTRG.16687.3	3.905591	0.0	0.0	0.0	1.6036	16.048941	0.609057	0.888887	2871.419678	0.0	40.315441	0.586332	0.798379	12.002464	0.855595	0.953675	1.466486	0.0	1.326326	2.00994	0.0	3291.367676	15.077258	0.0	5.157154
1.00000	18	44592780	44592862	MSTRG.16687.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5770.064453	0.0	0.0	0.0
0.92728	18	45370851	45371156	MSTRG.16692.1	0.183149	3e-06	2.013146	1.976421	0.222432	0.058744	0.179039	0.0	2.117186	4.711925	0.343195	0.212343	0.0	0.128831	0.121362	0.0	0.630548	0.0	0.534437	0.101054	0.016612	0.583985	2.424216	0.357478	13.688282
0.60256	18	45389758	45389908	MSTRG.16696.1	11.753608	5.729746	6.004522	4.784318	6.633091	2.819722	3.720005	5.146678	19.052113	58.875423	6.968815	5.243774	2.562066	6.367139	0.564438	5.219782	4.775584	10.431963	4.606054	5.174708	3.765801	1.937985	4.27823	2.698188	18.583443
0.87123	18	44769469	44770022	MSTRG.16699.1	0.723834	1.011761	1.391039	0.0	1.089408	0.483682	1.361987	0.706023	4.119604	2.60627	0.90174	1.699323	1.527955	0.874108	2.40956	1.319327	0.662819	2.261137	0.313328	0.808248	0.953122	11.778869	1.324794	1.415957	2.603047
NA	18	44873379	44873526	MSTRG.16700.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015032	0.010902	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NA	1	106051451	106052062	MSTRG.1670.1	0.0	0.0	0.0	0.0	0.0	0.0	0.193336	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.141006	0.0	0.0	0.0	0.037807	0.0	0.0	0.0	0.0	0.0	0.0
0.94414	18	45742725	45742793	MSTRG.16715.1	0.9081	1.349291	0.0	0.0	0.64671	0.0	0.0	0.0	16.048891	21.132074	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.832853	2.759426	0.0	0.0	0.0	0.176676
0.97545	18	45742725	45743253	MSTRG.16715.2	0.362273	0.0	0.0	0.0	0.268314	0.0	0.0	0.0	2.225338	3.885941	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.41345	0.814726	0.0	0.0	0.0	0.0
NA	18	45743687	45746378	MSTRG.16715.3	0.001119	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.697061	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016787	0.0	0.0	0.0	0.0
NA	18	45743598	45746378	MSTRG.16715.4	0.000121	0.0	0.0	0.0	0.001243	0.0	0.0	0.0	0.223275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011556	0.026725	0.0	0.0	0.0	0.0
NA	18	45743598	45746378	MSTRG.16715.5	0.0	0.037028	0.0	0.0	3.4e-05	0.0	0.0	0.0	0.337403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009928	0.060739	0.0	0.0	0.0	0.0
NA	18	45743687	45746378	MSTRG.16715.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013012	0.050074	0.0	0.0	0.0	0.0
NA	18	45743687	45746378	MSTRG.16715.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.245788	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003749	0.0	0.0	0.0	0.0
1.00000	18	46289682	46290757	MSTRG.16717.10	0.0	0.077308	0.0	0.0	0.0	0.0	0.0	0.0	1.382211	0.0	0.137526	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.377248
0.60165	18	40234634	40236095	MSTRG.16722.1	7.793314	1.167415	4.666	2.785054	1.849008	2.822704	3.114214	1.956115	4.860424	3.151344	6.757672	2.135188	1.512724	2.011353	1.288745	8.231305	1.291916	4.137186	2.599938	1.246075	1.52162	1.780616	1.321331	1.461016	9.586905
0.99186	18	40291382	40291620	MSTRG.16723.1	0.124891	0.0	0.0	0.0	0.452312	0.460858	0.0	0.0	1.443413	0.0	0.679743	0.0	0.0	0.0	0.0	6.550972	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.393597	0.511097
0.93719	18	40387510	40387643	MSTRG.16725.1	0.825251	0.0	0.0	0.0	0.521878	1.503047	0.283617	0.0	1.312097	0.0	0.944786	0.0	0.702446	0.0	0.0	6.531347	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.346421	6.636605
0.86232	18	40694327	40694547	MSTRG.16729.1	1.147421	0.0	0.0	0.0	0.0	0.0	1.640069	0.145778	5.952088	7.132085	2.431343	0.0	0.864258	0.330366	0.495428	1.834499	0.176994	0.247745	0.291335	0.894377	1.017102	1.52104	2.483117	0.689009	3.437478
1.00000	18	40694327	40694547	MSTRG.16729.10	0.023984	0.0	0.0	0.0	0.109125	0.0	0.280814	0.0	5.258218	0.0	0.0	0.0	0.0	0.016627	0.182009	0.0	0.351416	0.0	0.252279	0.0	0.499735	0.0	0.0	0.0	0.44376
0.96458	18	40644387	40644840	MSTRG.16729.12	0.956468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.000287	0.0	0.527756	0.0	0.0	0.0	0.0	0.0	0.013571	0.0	0.0	0.0	0.626886	0.738284	0.397879	0.0	2.544706
0.93871	18	40705475	40705697	MSTRG.16729.13	1.072765	0.254385	0.0	0.0	0.19249	0.438534	0.337503	0.397885	5.611122	0.966367	1.696118	1.048235	0.261202	1.199699	0.241271	0.590164	0.166221	0.0	0.391062	0.575474	1.153679	1.03104	1.955941	0.225369	10.069004
0.99806	18	40694330	40694547	MSTRG.16729.14	0.310018	0.0	0.0	0.0	0.0	0.151716	0.0	0.0	9.959793	0.0	0.091806	0.0	0.0	0.254164	0.0	0.0	0.218132	0.0	0.0	0.0	0.437498	0.822423	0.0	0.564982	1.112917
0.94645	18	40715017	40715154	MSTRG.16729.2	0.505462	0.092519	0.0	0.252689	1.284568	0.428539	0.260237	0.398323	3.388575	0.0	1.029885	0.838327	0.076615	0.150819	1.46826	0.062394	0.276105	0.207173	0.013442	0.039998	0.457831	0.121399	0.177828	0.631193	2.47111
0.88610	18	40696061	40696212	MSTRG.16729.3	1.966103	0.455006	0.0	0.0	0.680622	0.342537	0.754607	0.945427	7.465838	6.196371	0.647053	0.539925	1.345784	0.376976	1.020515	1.220587	0.519779	4.82963	0.620944	1.309341	1.272	0.405251	0.472651	1.482581	0.998519
0.68911	18	40715686	40718066	MSTRG.16729.4	3.516087	2.850946	2.408324	1.144857	1.950011	0.71977	1.360075	1.204108	7.427248	4.265383	2.837414	1.989652	0.725897	1.751895	2.037222	1.765858	1.170323	6.020947	1.330014	1.256669	2.013969	1.215335	0.997845	1.380703	5.89953
0.91639	18	40710677	40712628	MSTRG.16729.5	1.675369	0.004397	3.34534	1.052636	0.031737	0.09806	0.0	0.386082	2.890485	0.452423	0.771248	0.35409	0.05972	0.210473	0.100905	0.171476	0.644978	4.147899	0.117123	1.00115	0.383961	0.084119	0.0	0.304353	1.017157
0.96011	18	40715686	40718066	MSTRG.16729.6	1.382387	0.0	0.045333	0.0	0.7555	0.024367	0.003707	0.0	1.869795	0.0	0.059543	0.0	0.0	0.035582	0.0	0.031549	0.074435	0.360286	0.054989	0.87477	1.166878	0.099817	0.053808	0.0	3.167744
0.97798	18	40715686	40718066	MSTRG.16729.7	1.197359	0.0	2.183734	0.0	0.013681	0.060042	0.0	0.0	1.261986	0.0	0.0	0.101673	0.0	0.0	0.0	0.028689	0.021788	0.509455	0.0	0.0	0.660037	0.0	0.0	0.0	0.616384
0.94309	18	40694327	40694547	MSTRG.16729.8	0.440662	0.0	0.0	0.0	0.160893	0.205907	0.349821	0.04351	2.794214	0.0	0.29045	2.519384	0.0	0.191698	0.0	0.0	0.079691	0.0	0.0	0.10829	0.145107	0.332274	0.255754	0.0	1.615293
0.85832	18	40705748	40706029	MSTRG.16729.9	1.246553	0.496488	0.0	0.0	0.360281	0.927811	0.820192	0.683109	3.890142	0.0	2.484533	1.371873	0.0	1.305665	0.76713	1.003467	0.960267	0.0	1.060631	2.121557	1.158543	1.561963	1.194084	0.0	3.746876
0.77386	18	40763030	40763058	MSTRG.16731.1	1.474041	11.64139	39.419468	0.0	3.623664	2.387104	3.194646	1.156934	7.528263	4.852848	6.019479	8.783041	1.905206	0.3854	2.218901	0.0	0.785131	0.0	1.614301	2.405807	0.881388	3.748523	1.210225	0.0	5.79743
0.97621	18	47637327	47637369	MSTRG.16735.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.352796	0.0	0.0	0.11399	0.0	0.0	0.0	0.0	7.535246	0.214858	0.0	0.279002	0.0	0.0	0.0	2.064889	0.0	1.533997
0.97077	18	48037534	48037776	MSTRG.16736.2	0.0	0.0	0.0	0.0	0.222081	0.0	0.238342	0.16368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.847173	0.414126	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.452285
0.99049	18	48025540	48025904	MSTRG.16738.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.049847	0.333726	0.0	0.0	0.0	0.0	0.0	0.0	1.648292	0.113293	0.0	0.0	0.0	0.0	0.0	0.068113	0.0	8.936491
